Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.0016101934, -0.015237093, -0.018627167]","[8.38547, -3.4033217, -0.3743619]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.013582036, -0.008943021, 0.004753113]","[8.3826, -3.4093611, -0.3684474]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.008026712, -0.039110303, 0.008477211]","[8.391266, -3.3903203, -0.3581421]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.013616156, 0.026990592, -0.0041618347]","[8.384094, -3.4063356, -0.3737651]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.044209093, -0.010281384, 0.022685051]","[8.391846, -3.389921, -0.387465]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.01290467, 0.027011514, -0.053325653]","[8.40314, -3.365011, -0.37052435]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.04303989, -0.015416026, 0.013665199]","[8.4245, -3.318991, -0.3805833]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.04501044, 0.024395525, -0.010381699]","[8.416016, -3.3373375, -0.37815318]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815243765554705e-11, -6.653414634679606e-09]"
"[0.029003471, -0.0025928617, 0.013295174]","[8.42752, -3.3121202, -0.36699522]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.00010209903, -0.017384589, -0.034283638]","[8.41223, -3.3450682, -0.36341354]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.021729946, 0.007987976, 0.020768166]","[8.423645, -3.320868, -0.3808688]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0022630803, 0.037182927, -0.02419281]","[8.41849, -3.3315682, -0.36337724]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.023791905, 0.03889191, -0.0004081726]","[8.42346, -3.3208055, -0.3645764]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.028524686, -0.05303383, 0.03996277]","[8.42572, -3.3159096, -0.3641458]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.0021284483, -0.09907076, 0.01895523]","[8.42209, -3.324153, -0.376723]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.011866923, -0.05488223, -0.0356102]","[8.42853, -3.3102741, -0.37868977]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
,,,,"[-2.6815245588905107e-11, -6.653414711659005e-09]"
"[-0.04448326, -0.0023668408, 0.0031766891]","[8.40839, -3.353641, -0.37072968]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.0046854764, -0.07286191, -0.034568787]","[8.41681, -3.3352284, -0.3636414]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.06262652, -0.011644006, 0.030415535]","[8.41568, -3.3380296, -0.3767965]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.010771982, -0.007993102, 0.0030031204]","[8.39862, -3.3751569, -0.38579953]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.008320335, -0.02014047, 0.02545166]","[8.39856, -3.3753028, -0.3853705]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0048371293, 0.015382409, -0.034113884]","[8.39172, -3.390325, -0.392908]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.01488984, 0.00055903196, 0.023490906]","[8.396484, -3.3801048, -0.39682606]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.014521901, 0.0056847334, -0.001291275]","[8.397644, -3.377513, -0.3943247]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.0027970597, 0.02564174, -0.0087451935]","[8.40097, -3.37021, -0.39047202]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0046052597, -0.0015250444, 0.015527725]","[8.397644, -3.3774624, -0.39186364]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.011086762, -0.008714378, -0.030003548]","[8.39746, -3.3780057, -0.3967792]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[-2.6815247400194566e-11, -6.653414788629304e-09]"
,,,"[False, False, False]",
"[0.036465243, 0.0019937158, -0.0039987564]","[8.40039, -3.3717074, -0.3985665]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.02767323, -0.008846402, -0.021403313]","[8.4032, -3.3655756, -0.39730436]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.004812263, 0.020845652, -0.008779526]","[8.40625, -3.3588533, -0.39289808]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.011309922, 0.0059565306, 0.005760193]","[8.4046, -3.3623626, -0.38931036]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.0067146197, -0.09756327, -0.03575802]","[8.420166, -3.3283637, -0.38006887]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.010353833, 0.020058334, -0.031002998]","[8.41922, -3.3306544, -0.38754925]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.00645981, -0.038772106, 0.03446579]","[8.405334, -3.36093, -0.39638445]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.011469774, -0.004666388, 0.010897636]","[8.41522, -3.3393824, -0.39091483]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[-2.6815249196141136e-11, -6.653414865596618e-09]"
,,,"[False, False, False]",
"[-0.0052216053, -0.018921435, -0.010972977]","[8.4079, -3.355187, -0.38954726]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.016459953, 0.0073828697, 0.017102242]","[8.41571, -3.3383465, -0.39170918]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.00025113672, 0.010925651, -0.021300316]","[8.41159, -3.347229, -0.3911823]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.002218753, 0.0029664636, -0.0012617111]","[8.4176, -3.334231, -0.39106506]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.03391369, 0.0026539564, 0.0041513443]","[8.4021, -3.367921, -0.39654863]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.019013032, -0.011092007, -0.022536278]","[8.41049, -3.349675, -0.3923548]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.005863074, -0.033441246, -0.021450996]","[8.408295, -3.3545916, -0.3989841]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.018488295, -0.024906099, -0.009814262]","[8.4057, -3.3599544, -0.38985246]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0043081306, -0.0064757466, 0.0009365082]","[8.397, -3.3788407, -0.3906542]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
,,,,"[-2.6815250974525253e-11, -6.6534149425577626e-09]"
"[-0.0027554259, 0.027815044, -0.010290146]","[8.392914, -3.3876626, -0.39072958]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.008993529, -0.022968411, 0.0005464554]","[8.404175, -3.3634646, -0.39571828]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.041178703, 0.0003350973, -0.0020475388]","[8.395874, -3.381417, -0.39772865]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.009200521, -0.023842096, 0.0318985]","[8.4014, -3.3694339, -0.39480802]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.010055829, 0.053402543, 0.010910988]","[8.39804, -3.3767114, -0.3959455]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.010545157, -0.061647713, -0.004061699]","[8.40988, -3.3508744, -0.38733602]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0008827001, 0.06883633, 0.0019273758]","[8.40219, -3.367506, -0.38739124]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.021482512, -0.009823501, 0.002333641]","[8.40045, -3.3713753, -0.39205152]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.019613609, -0.015411556, -0.043011665]","[8.41159, -3.3474262, -0.39657897]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.0036328286, -0.030424893, -0.023848534]","[8.423065, -3.322628, -0.39922246]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.012146071, 0.022296727, 0.0054512024]","[8.41745, -3.3345907, -0.3907255]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.004609041, -0.003678143, -0.012158394]","[8.424866, -3.318598, -0.3937096]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815252714073635e-11, -6.6534150195246835e-09]"
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.026915837, -0.044653714, -0.0027990341]","[8.423004, -3.3226779, -0.39720678]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0037495121, 0.024443626, -0.02639103]","[8.41708, -3.3356216, -0.4004275]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.008169629, 0.009661853, 0.027258873]","[8.42163, -3.3257322, -0.39884233]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.020180747, 0.049213827, -0.01216507]","[8.42114, -3.326832, -0.3999802]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.013652146, 0.02961433, -0.047644615]","[8.40463, -3.3626328, -0.40278995]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.013641059, 0.025419831, 0.017329216]","[8.39993, -3.3728166, -0.40307587]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815254424492797e-11, -6.653415096493372e-09]"
,,,"[False, False, False]",
"[0.020309202, -0.007297218, 0.0051345825]","[8.40839, -3.3544571, -0.40003517]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.021045797, 0.011888921, 0.0009717941]","[8.40161, -3.3689234, -0.39425832]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.016539264, -0.018259645, 0.0022096634]","[8.41696, -3.3356247, -0.39171898]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.035507984, -0.0002706647, -0.021780014]","[8.42786, -3.3121347, -0.39324066]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.033709787, -0.12295601, 0.002216339]","[8.44574, -3.273391, -0.39190054]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.101490706, -0.005327165, 0.01679802]","[8.420044, -3.3288646, -0.38892913]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.04188241, -0.06318313, -0.015262604]","[8.43057, -3.3063505, -0.3981424]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.0012439564, -0.0103238225, 0.01433754]","[8.42636, -3.315543, -0.3997084]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0107210055, -0.020448148, 0.014143944]","[8.43118, -3.3050675, -0.3994926]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.008689612, 0.028373837, -0.019871712]","[8.421234, -3.3266866, -0.40163037]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[-2.6815256116002525e-11, -6.653415173458959e-09]"
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.008064084, -0.008323967, -0.0028085709]","[8.42505, -3.318431, -0.40153593]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.029265642, -0.021565616, 0.03515339]","[8.42706, -3.3139224, -0.39719108]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.026704926, 0.00066512823, 0.010180473]","[8.43027, -3.3069258, -0.39540985]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.017418291, -0.008144915, -0.009865761]","[8.41879, -3.3318157, -0.39677384]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.030465685, -0.017966151, 0.0051002502]","[8.41791, -3.3339627, -0.40436092]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.010539096, -0.010184765, 0.028201103]","[8.41321, -3.3439672, -0.39912456]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.012169316, -0.006395161, 0.03398323]","[8.41034, -3.3500419, -0.39472666]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[-2.6815257791246222e-11, -6.653415250421809e-09]"
,,,"[False, False, False]",
"[0.016238417, -0.025946498, -0.004242897]","[8.40854, -3.3538315, -0.39063713]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.004214283, 0.010034323, 0.014886856]","[8.409424, -3.3518786, -0.38960886]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.007655032, 0.00058460236, -0.0006942749]","[8.409424, -3.3518572, -0.38959402]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.026349626, -0.0052326918, 0.027480125]","[8.41382, -3.3424275, -0.39112318]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0095417015, 0.04101926, -0.003364563]","[8.403015, -3.3658834, -0.39295906]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.014137119, -0.013842344, -0.002538681]","[8.40936, -3.3521595, -0.39313072]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.012326941, 0.013033032, 0.01710701]","[8.411316, -3.3479552, -0.39607668]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.024956703, 0.010946214, -0.0060482025]","[8.42499, -3.3184693, -0.39896953]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.028721921, -0.013844967, 0.007809639]","[8.422485, -3.3236973, -0.391751]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[5.262731368738076e-06, -3.40103281477694e-05]"
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.0040141307, -0.0069456697, 0.0014009476]","[8.4339, -3.298936, -0.38797703]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.001427047, 0.014277399, -0.03195858]","[8.43378, -3.2991693, -0.38646963]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.05107622, -0.045452774, -0.07931423]","[8.4393, -3.287131, -0.38535604]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[-0.04380627, 0.019378185, 0.0030488968]","[8.436646, -3.2928967, -0.3868292]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[-0.009300277, -0.057279587, 0.03641987]","[8.4267, -3.3142393, -0.3791284]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.013314057, 0.0570426, 0.00081157684]","[8.427734, -3.3121753, -0.38682273]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,,"[5.262731368736424e-06, -3.401032814784646e-05]"
,,,"[False, False, False]",
"[0.005340293, -0.009226024, 0.017858505]","[8.43411, -3.2982569, -0.38210538]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.025573824, 0.026327789, -0.024454117]","[8.44116, -3.2832248, -0.38946724]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
,,,"[False, False, False]",
"[0.003993865, -0.021967888, -0.0016021729]","[8.445496, -3.2737708, -0.3884954]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0014281869, -0.047653437, 0.022432327]","[88.45331, -3.2567847, -0.3832963]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[False, False, False]",
"[0.0040641725, 0.045708776, 0.00344944]","[8.45035, -3.2637076, -0.40364048]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.06498993, 0.047643125, -0.057468414]","[8.44086, -3.2841055, -0.39743963]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.010722905, -0.021254718, 0.024440765]","[8.461395, -3.23972, -0.4001971]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.032581206, -0.01213181, -0.009375572]","[8.44672, -3.2715623, -0.40281093]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.03370515, -0.06737256, 0.0061531067]","[88.457886, -3.247145, -0.394372]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[5.262731368734788e-06, -3.401032814792357e-05]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.002290614, -0.039757848, -0.028787613]","[88.429504, -3.308462, -0.39162332]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[5.26273136873317e-06, -3.401032814800068e-05]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,,"[5.262731368731594e-06, -3.401032814807781e-05]"
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-5.9381127e-06, 0.02295971, 0.009153366]","[8.40634, -3.358658, -0.39269873]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[5.262731368730024e-06, -3.401032814815494e-05]"
"[0.0024255887, -0.053863168, -0.017000198]","[8.40384, -3.3640504, -0.3927428]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0056283325, 0.020224333, 0.023324013]","[8.391785, -3.389935, -0.38410014]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.010679796, 0.04316461, -0.028190613]","[8.38928, -3.3953474, -0.38563004]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0054755434, -0.07618493, 0.009660721]","[8.393524, -3.3860965, -0.38232064]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.0016718954, -0.0296188, 0.0046596527]","[8.398224, -3.375976, -0.38279828]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
,,,"[True, True, True]",
,,,"[True, True, True]",
,,,"[True, True, True]",
"[0.019663721, -0.03585553, -0.038599014]","[88.40744, -3.3563874, -0.39634785]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.01499125, 0.010761261, -0.0075950623]","[8.39844, -3.3758678, -0.39683086]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.03138865, -0.022593796, -0.057723045]","[8.405, -3.3616297, -0.39543065]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.033831302, 0.0054507256, -0.018069267]","[8.39682, -3.3793821, -0.39621422]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.0010460466, 0.036129773, -0.04634571]","[8.39621, -3.3803654, -0.38456306]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0011077672, -0.03225088, 0.00057411194]","[8.39078, -3.3921683, -0.3855503]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.015621692, 0.037848294, 0.037064552]","[8.388, -3.3981836, -0.38528553]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.00277536, -0.01676035, -0.0480299]","[8.39444, -3.384125, -0.38091433]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
,,,,"[5.26273136872846e-06, -3.401032814823205e-05]"
"[0.032023866, -0.03650105, -0.02379036]","[8.39252, -3.388356, -0.38515478]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.011316426, -0.04847485, 0.031544685]","[8.391846, -3.3900962, -0.39581925]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.08755823, 0.0041387677, -0.011890411]","[8.39188, -3.389909, -0.3907316]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.0070420206, 0.031210363, 0.06462574]","[8.38983, -3.3940327, -0.3787847]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.0074677095, -0.03174615, -0.0039167404]","[8.37332, -3.4296916, -0.37728468]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.023744829, -0.02103287, -0.033290863]","[8.390076, -3.3934262, -0.37807286]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[5.786121e-05, -0.02430731, 0.0035381317]","[8.37381, -3.4286745, -0.37894392]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.019547757, 0.016647458, 0.017178535]","[8.38248, -3.4100175, -0.38216057]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.024020988, -0.011597633, -0.024656296]","[8.369385, -3.4383018, -0.37936395]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.01800105, -0.02481395, -0.027797699]","[8.37842, -3.4189267, -0.3870828]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.01280196, 0.053903937, -0.03992176]","[8.39969, -3.3733075, -0.40171093]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.054619495, -0.035073638, 0.00909996]","[8.40802, -3.355075, -0.39304858]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
,,,"[True, True, True]",
"[0.031039786, 0.008851409, 0.002084732]","[8.40466, -3.3623095, -0.3944201]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
,,,,"[5.262731368726929e-06, -3.4010328148309166e-05]"
"[-0.14349142, 0.3928991, 0.26739693]","[8.41608, -3.3382745, -0.4190142]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.49001127, 0.037846327, -0.2809887]","[8.456665, -2.968865, -0.34740943]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.08657046, 0.09755421, -0.23045063]","[8.44882, -2.9898002, -0.3593903]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0027169585, -0.26347262, 0.06362343]","[8.37741, -2.9783056, -0.36154416]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.0021132454, 0.069799304, -0.016586304]","[8.34094, -2.9177618, -0.36693352]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.0076782294, -0.0312441, -0.022263527]","[8.32297, -3.0057168, -0.35338864]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.059804197, 0.061626792, 0.090099335]","[8.24109, -3.0166, -0.33814138]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.028778482, -0.13440016, 0.052441597]","[8.23639, -2.9803505, -0.34825215]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[0.047378786, 0.16345298, -0.0422163]","[8.21344, -3.0295434, -0.33534282]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.025787748, -0.0349226, 0.0015382767]","[8.20236, -3.05391, -0.34826186]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.012053799, 0.010965347, 0.020098686]","[8.19287, -3.0740309, -0.33545673]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.019693803, 0.009790719, -0.014515877]","[8.1676, -3.128396, -0.3269482]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, True]",
"[-0.013541061, -0.008924842, -0.011774063]","[8.176575, -3.1094265, -0.3397816]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
