Acceleration,Velocity,Orientation,Obstacle,GPS
"[-0.054734424, -0.042382777, 0.031705856]","[8.27826, -3.7986033, 1.5004386]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.02122435, 0.006625235, -0.00068569183]","[8.26828, -3.8216186, 1.5008667]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.06084998, 0.09915203, 0.012669563]","[88.27728, -3.801096, 1.4945956]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.006302446, 0.0496943, -0.11587143]","[8.3295, -3.6774662, 1.5921172]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.05610241, -0.14220035, 0.007472992]","[88.3562, -3.6157374, 1.5954101]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.011425972, 0.04815346, 0.0058717728]","[8.315735, -3.7104473, 1.5535069]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.07030669, 0.007945299, -0.046230316]","[88.29605, -3.75604, 1.5477097]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0048751235, -0.009001672, 0.03374195]","[8.31424, -3.713798, 1.5569525]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.063477576, 0.045397162, -0.09056568]","[88.29608, -3.7559924, 1.5459493]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.010562748, 0.0024860501, -0.0035886765]","[8.36731, -3.5898395, 1.6058906]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.029916137, 0.07602072, -0.06485748]","[8.38226, -3.5557475, 1.5922389]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.010342866, -0.008472502, -0.043115616]","[8.27338, -3.809611, 1.5097399]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.022537917, -0.00035011768, 0.012793541]","[8.26886, -3.8201418, 1.5066808]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.006291449, -0.01051259, -0.019501686]","[8.27405, -3.8081822, 1.5049334]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.018453866, 0.023871064, -0.033226013]","[8.27103, -3.8151944, 1.5039209]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.027588293, -0.05414313, 0.025734901]","[8.27911, -3.796456, 1.5072522]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.004251927, 0.011455119, 0.008189201]","[8.27057, -3.8160045, 1.5113198]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
